City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Marks,1,US,1545522239,62,34.26,-90.27,51.8,11.74
Srednekolymsk,48,RU,1545522240,59,67.46,153.71,-33.03,2.91
Boyolangu,80,ID,1545522241,90,-8.09,111.9,74.48,5.59
Faya,20,SA,1545522242,93,18.39,42.45,57.2,5.82
Haskovo,90,BG,1545522243,100,41.93,25.56,30.2,4.7
Sorland,92,NO,1545522244,100,67.67,12.69,38.98,16.55
Komsomolskiy,68,RU,1545522245,80,67.55,63.78,-4.45,16.78
Kaeo,92,NZ,1545522246,93,-35.1,173.78,71.02,7.27
Norman Wells,20,CA,1545522247,83,65.28,-126.83,-11.21,6.93
Castro,75,CL,1545522248,76,-42.48,-73.76,57.2,4.7
San Jeronimo,36,PE,1545522250,64,-13.65,-73.37,47.98,1.9
Deputatskiy,20,RU,1545522251,0,69.3,139.9,-40.68,3.13
San Patricio,44,PY,1545522252,88,-26.98,-56.83,75.2,4.47
Yulara,0,AU,1545522253,13,-25.24,130.99,80.6,21.92
Taoudenni,0,ML,1545522254,41,22.68,-3.98,54.55,11.41
Aklavik,90,CA,1545522255,83,68.22,-135.01,-4.01,4.7
Bambous Virieux,75,MU,1545522256,83,-20.34,57.76,78.8,16.11
Sri Aman,80,MY,1545522258,100,1.24,111.46,71.6,2.91
Tarakan,76,ID,1545522259,100,3.3,117.63,77.0,4.03
Chimbarongo,0,CL,1545522260,44,-34.71,-71.04,78.8,10.29
Cabo San Lucas,5,MX,1545522261,69,22.89,-109.91,78.8,2.68
Saint-Augustin,90,FR,1545522262,93,44.83,-0.61,57.2,6.93
Ribeira Grande,92,PT,1545522263,100,38.52,-28.7,58.42,12.64
Victoria,75,BN,1545522264,100,5.28,115.24,77.0,9.84
Beringovskiy,8,RU,1545522265,100,63.05,179.32,-12.69,14.76
Torbay,90,CA,1545522266,92,47.66,-52.73,35.6,26.4
Liaoyang,0,CN,1545522268,40,41.27,123.17,15.8,4.47
Samarai,48,PG,1545522269,100,-10.62,150.67,83.8,3.02
Sangueya,0,GN,1545522270,89,10.7,-14.37,72.23,5.48
Ipixuna,75,BR,1545522271,94,-1.76,-48.8,73.4,2.24
Serebryansk,20,KZ,1545522272,46,49.68,83.3,-17.28,2.13
Nome,1,US,1545522273,70,30.04,-94.42,69.8,8.05
Tezu,0,IN,1545522274,50,27.93,96.16,48.97,2.01
Qaanaaq,0,GL,1545522275,75,77.48,-69.36,-17.73,4.47
Mongo,0,CF,1545522277,66,4.83,22.92,70.79,4.36
Morgan City,1,US,1545522278,67,29.7,-91.21,62.96,9.17
Batagay,12,RU,1545522279,0,67.65,134.64,-54.67,2.46
Sangre Grande,20,TT,1545522280,83,10.59,-61.13,77.0,9.95
Monte Santo de Minas,44,BR,1545522281,92,-21.19,-46.98,69.8,1.12
Dingle,92,PH,1545522282,100,11.0,122.67,73.49,1.79
Broome,44,GB,1545522283,93,52.47,1.45,43.52,9.17
Kungurtug,20,RU,1545522284,55,50.6,97.53,-15.66,4.59
Qaqortoq,92,GL,1545522285,87,60.72,-46.03,30.07,13.31
Port Elizabeth,75,US,1545522287,62,39.31,-74.98,45.14,11.41
Nagapattinam,76,IN,1545522288,94,10.76,79.84,76.64,9.62
Airai,88,TL,1545522289,94,-8.93,125.41,73.04,1.45
Tapes,76,BR,1545522290,87,-30.67,-51.4,72.37,6.71
Labuhan,24,ID,1545522291,83,-2.54,115.51,78.58,3.47
Dongying,44,CN,1545522292,62,37.43,118.67,31.19,14.76
Kaitangata,0,NZ,1545522293,74,-46.28,169.85,59.68,5.37
Virginia Beach,20,US,1545522294,58,36.85,-75.98,51.98,5.82
Corsicana,1,US,1545522296,42,32.09,-96.46,69.98,7.16
Mapimi,40,MX,1545522297,10,25.82,-103.85,77.0,2.57
Maldonado,20,UY,1545522298,82,-34.91,-54.96,66.2,5.82
Mitsamiouli,64,KM,1545522299,95,-11.38,43.28,82.85,5.93
Arica,0,CL,1545522300,68,-18.48,-70.32,69.8,6.93
Mishan,0,CN,1545522301,47,45.55,131.88,10.04,8.95
Cangucu,56,BR,1545522303,66,-31.39,-52.68,74.03,6.6
Soreang,68,ID,1545522304,99,-7.03,107.52,67.64,2.13
Diban,0,SY,1545522305,86,35.02,40.51,41.72,5.59
Palmer,0,AU,1545522306,55,-34.85,139.16,64.4,3.36
Wagar,0,US,1545522307,66,31.44,-87.99,50.68,5.93
Ordynskoye,80,RU,1545522309,83,54.37,81.9,0.68,5.14
Guozhen,32,CN,1545522310,100,29.3,113.14,42.53,9.84
Comodoro Rivadavia,0,AR,1545522311,22,-45.87,-67.48,77.0,23.04
Edgewater,1,US,1545522312,76,28.99,-80.9,57.92,5.93
Syracuse,90,US,1545522313,81,43.05,-76.15,33.08,14.99
Luderitz,0,NA,1545522315,67,-26.65,15.16,62.42,19.69
Rivadavia,12,AR,1545522316,39,-31.53,-68.59,79.48,2.35
Constitucion,20,MX,1545522317,6,23.99,-104.67,71.6,5.82
Lieksa,76,FI,1545522318,72,63.32,30.02,6.08,4.14
Lorengau,48,PG,1545522319,96,-2.02,147.27,85.73,6.6
Nacogdoches,1,US,1545522320,61,31.6,-94.66,69.08,4.7
Kifri,0,IQ,1545522321,81,34.69,44.96,33.35,2.57
Seoul,0,KR,1545522322,59,37.57,126.98,37.4,12.75
Vila Franca do Campo,75,PT,1545522323,100,37.72,-25.43,60.8,11.41
Kaduy,92,RU,1545522325,87,59.2,37.15,14.77,13.42
Bouna,0,CI,1545522326,51,9.27,-3.0,65.39,2.91
Mahebourg,75,MU,1545522327,83,-20.41,57.7,78.8,16.11
Kulhudhuffushi,0,MV,1545522328,100,6.62,73.07,81.82,6.15
Porosozero,80,RU,1545522329,82,62.72,32.71,5.63,5.59
Jalalabad,1,AF,1545522330,70,34.43,70.46,36.5,1.12
Cockburn Town,24,TC,1545522332,100,21.46,-71.14,80.02,8.61
Iqaluit,90,CA,1545522333,76,63.75,-68.52,-5.81,29.97
Sawang Daen Din,0,TH,1545522334,83,17.48,103.46,69.08,7.72
Aswan,32,EG,1545522335,95,24.09,32.9,50.0,5.82
Galesong,20,ID,1545522336,100,-5.32,119.37,75.2,3.36
College,48,US,1545522337,79,64.86,-147.8,-10.13,2.24
Garza Garcia,5,MX,1545522338,9,25.67,-100.4,84.2,8.05
Zhoucheng,40,CN,1545522340,93,31.35,119.33,42.8,2.24
Anchorage,75,US,1545522341,99,61.22,-149.89,24.08,6.71
Dodge City,90,US,1545522342,41,37.75,-100.02,44.96,16.11
Kenai,40,US,1545522343,78,60.55,-151.26,28.94,23.04
Severo-Kurilsk,20,RU,1545522344,100,50.68,156.12,26.78,5.7
La Macarena,8,CO,1545522345,49,2.18,-73.79,80.78,1.9
Caravelas,0,BR,1545522346,100,-17.73,-39.27,80.47,21.7
Doka,0,SD,1545522347,54,13.52,35.76,67.01,8.72
Thompson,90,CA,1545522348,70,55.74,-97.86,1.4,8.05
Pisco,0,PE,1545522349,30,-13.71,-76.2,71.6,21.92
Laguna,75,MX,1545522350,30,27.52,-110.01,80.6,11.41
The Valley,40,AI,1545522352,73,18.22,-63.06,78.8,8.05
Hualmay,32,PE,1545522353,83,-11.1,-77.61,69.62,6.04
Atar,48,MR,1545522354,23,20.52,-13.05,66.92,11.63
Peniche,0,PT,1545522355,87,39.36,-9.38,51.8,9.17
Bredasdorp,0,ZA,1545522356,83,-34.53,20.04,69.8,2.24
Ilulissat,92,GL,1545522357,85,69.22,-51.1,23.0,5.82
Benjamin Constant,20,BR,1545522358,83,-4.38,-70.03,77.0,2.24
Axim,0,GH,1545522359,100,4.87,-2.24,82.49,7.38
Wageningen,90,NL,1545522361,93,51.98,5.66,46.4,9.17
Meulaboh,0,ID,1545522362,100,4.14,96.13,78.08,6.93
Margate,75,AU,1545522363,48,-43.03,147.26,64.4,16.11
Nanortalik,92,GL,1545522364,89,60.14,-45.24,32.32,5.93
Shakiso,88,ET,1545522365,57,5.77,38.9,60.62,2.91
Lagoa,0,PT,1545522366,76,37.14,-8.45,53.6,4.7
Lasa,40,CY,1545522368,87,34.92,32.53,51.8,6.93
Barentu,0,ER,1545522369,83,15.11,37.59,54.14,2.46
Lubao,75,PH,1545522370,83,14.94,120.6,78.8,4.7
Otane,88,NZ,1545522371,89,-39.89,176.62,60.71,4.36
Hay River,90,CA,1545522372,84,60.82,-115.79,-0.41,5.82
Dicabisagan,100,PH,1545522373,100,17.08,122.42,73.22,9.17
Banda Aceh,0,ID,1545522375,100,5.56,95.32,69.98,2.91
Sorong,32,ID,1545522376,100,-0.86,131.25,79.88,6.38
Saint-Pierre,90,FR,1545522377,93,48.95,4.24,48.2,11.41
Mount Gambier,0,AU,1545522378,63,-37.83,140.78,60.8,6.93
Cheney,90,US,1545522379,95,47.49,-117.58,35.96,4.7
Camacupa,76,AO,1545522380,97,-12.02,17.48,63.5,3.58
Dudinka,56,RU,1545522381,45,69.41,86.18,-28.08,13.65
Waingapu,92,ID,1545522382,79,-9.65,120.26,79.34,8.28
Yuzhno-Kurilsk,36,RU,1545522383,100,44.03,145.86,35.6,8.72
Maketu,92,NZ,1545522385,98,-37.76,176.45,66.11,6.26
Egvekinot,8,RU,1545522386,50,66.32,-179.17,-30.91,3.69
Dali,0,CN,1545522387,100,25.6,100.24,27.28,2.68
Sungaipenuh,80,ID,1545522388,97,-2.08,101.38,67.15,1.01
Ketchikan,75,US,1545522389,81,55.34,-131.65,41.0,10.29
Port Blair,24,IN,1545522390,100,11.67,92.75,82.13,10.51
Dzhebariki-Khaya,56,RU,1545522391,51,62.22,135.8,-30.96,2.57
Alice Springs,0,AU,1545522392,15,-23.7,133.88,77.0,14.99
Nuuk,88,GL,1545522394,100,64.17,-51.74,33.8,29.97
Mahanoro,100,MG,1545522395,100,-19.9,48.8,71.24,3.02
Saint-Georges,88,CA,1545522396,77,46.12,-70.67,28.22,11.74
Wana,0,PK,1545522397,88,32.31,69.59,18.41,3.8
Svencioneliai,92,LT,1545522398,94,55.17,26.0,29.12,10.85
Salas,20,ES,1545522399,87,43.41,-6.26,51.8,3.36
Itacare,32,BR,1545522400,94,-14.28,-39.0,78.17,6.71
Tourlaville,92,FR,1545522401,93,49.64,-1.57,50.0,6.93
Biltine,20,TD,1545522403,29,14.53,20.93,58.15,13.87
Kiama,90,AU,1545522404,72,-34.67,150.86,64.4,6.93
Falam,88,MM,1545522405,99,22.91,93.68,53.02,0.89
Mogok,0,MM,1545522406,92,22.92,96.51,50.45,1.68
Lavrentiya,76,RU,1545522407,100,65.58,-170.99,7.52,15.1
Hasaki,75,JP,1545522408,87,35.73,140.83,48.2,2.24
Cullman,1,US,1545522409,73,34.17,-86.84,46.94,3.36
Waipawa,48,NZ,1545522410,80,-39.94,176.59,64.9,6.38
Aksu,0,KZ,1545522412,77,52.04,76.93,1.4,6.71
Kahului,20,US,1545522413,53,20.89,-156.47,86.0,18.34
Taltal,0,CL,1545522414,78,-25.41,-70.49,62.96,2.35
Bindi,0,NG,1545522415,39,12.86,8.84,57.29,10.4
Mumford,0,GH,1545522416,90,5.26,-0.76,77.54,6.6
Dickinson,90,US,1545522417,63,46.88,-102.79,28.94,26.4
Grand Gaube,75,MU,1545522419,83,-20.01,57.66,78.8,16.11
Los Llanos de Aridane,56,ES,1545522420,72,28.66,-17.92,64.4,4.7
Lakatoro,80,VU,1545522421,82,-16.11,167.42,85.15,6.38
Valdagno,0,IT,1545522422,77,45.64,11.3,33.8,3.36
Bathsheba,88,BB,1545522423,100,13.22,-59.52,79.61,17.45
Diu,0,IN,1545522424,82,20.71,70.98,50.95,2.68
Dongsheng,0,CN,1545522425,78,29.72,112.52,37.67,11.41
Toyooka,75,JP,1545522426,93,35.55,134.82,48.2,8.05
Liberal,75,US,1545522428,32,37.04,-100.92,50.0,13.87
Tuktoyaktuk,90,CA,1545522429,84,69.44,-133.03,1.4,2.24
Yumen,0,CN,1545522430,59,40.29,97.04,-15.97,2.24
Leshukonskoye,32,RU,1545522431,74,64.9,45.76,0.59,5.48
Kem,0,UG,1545522432,68,2.68,33.77,68.63,4.7
Ponta do Sol,76,BR,1545522433,78,-20.63,-46.0,73.72,4.7
Cabo Rojo,90,PR,1545522434,73,18.09,-67.15,75.2,9.17
Panaba,0,MX,1545522435,48,21.28,-88.27,70.16,5.14
Codrington,75,AU,1545522437,57,-28.95,153.24,75.2,14.99
Inhambane,0,MZ,1545522438,100,-23.87,35.38,73.13,7.94
Bridlington,12,GB,1545522439,93,54.08,-0.19,44.6,4.7
Luau,92,CD,1545522440,98,-10.7,22.23,66.47,2.57
Jalingo,0,NG,1545522441,47,10.21,12.82,62.15,9.4
Arman,64,RU,1545522442,58,59.7,150.17,-12.82,2.91
Fortuna,0,ES,1545522443,87,38.18,-1.13,46.4,4.7
Beloha,0,MG,1545522444,81,-25.17,45.06,64.85,6.38
Batemans Bay,12,AU,1545522446,85,-35.71,150.18,64.76,4.7
North Bend,90,US,1545522447,70,43.41,-124.22,48.02,12.75
Dolores Hidalgo,40,MX,1545522448,11,21.16,-100.93,73.4,1.68
Snyder,1,US,1545522449,26,32.72,-100.92,64.76,3.36
Bhongir,40,IN,1545522450,93,17.52,78.89,64.4,4.7
Sioux Lookout,90,CA,1545522451,78,50.1,-91.92,15.8,4.7
Chifeng,0,CN,1545522452,23,42.27,118.96,5.32,7.38
Murray Bridge,0,AU,1545522453,81,-35.12,139.28,67.01,5.82
Tabou,0,CI,1545522454,100,4.42,-7.36,81.5,6.71
Puerto Penasco,0,MX,1545522456,89,31.32,-113.53,67.28,2.57
Manavalakurichi,75,IN,1545522457,88,8.13,77.3,80.6,3.36
Nouadhibou,80,MR,1545522458,48,20.93,-17.03,66.2,10.29
Haines Junction,44,CA,1545522459,73,60.75,-137.51,-2.16,2.24
Churapcha,44,RU,1545522460,40,62.0,132.43,-26.28,2.68
Tura,0,IN,1545522461,83,25.52,90.21,50.72,2.91
Jardim,8,BR,1545522462,77,-21.48,-56.15,77.68,3.36
Richards Bay,88,ZA,1545522463,88,-28.77,32.06,72.05,8.61
Doctor Arroyo,0,MX,1545522464,45,23.67,-100.18,56.17,2.46
Kavaratti,0,IN,1545522465,100,10.57,72.64,82.76,6.38
Evensk,0,RU,1545522466,100,61.92,159.24,-3.51,8.28
Sosnovo-Ozerskoye,8,RU,1545522468,63,52.53,111.54,-10.3,10.96
Storforshei,12,NO,1545522469,78,66.4,14.52,-13.99,1.68
Uyovu,92,TZ,1545522470,96,-3.28,31.53,63.23,3.69
Berlevag,32,NO,1545522471,100,70.86,29.09,9.5,8.05
Mahajanga,40,MG,1545522472,83,-15.72,46.32,82.4,6.93
Freeport,75,BS,1545522473,72,26.54,-78.7,62.6,9.17
Pochutla,5,MX,1545522474,61,15.74,-96.47,82.4,1.9
Kaka,36,TM,1545522476,96,37.35,59.62,27.77,2.46
Del Rio,1,US,1545522477,25,29.36,-100.9,78.44,2.91
Ganzhou,56,CN,1545522478,97,25.86,114.93,53.2,6.38
Seymchan,56,RU,1545522479,41,62.93,152.39,-27.04,2.35
Frankfort,1,US,1545522480,69,38.2,-84.87,41.0,6.93
Moyale,0,ET,1545522481,52,3.52,39.05,62.2,5.48
Tahe,68,CN,1545522482,52,52.34,124.71,-0.4,11.07
Fuling,80,CN,1545522483,100,29.71,107.39,44.6,2.24
Xining,0,CN,1545522485,49,36.62,101.77,10.58,5.26
Hermosillo,5,MX,1545522486,17,29.09,-110.96,84.2,4.7
Masuda,75,JP,1545522487,93,34.68,131.85,51.8,4.7
Te Karaka,100,NZ,1545522488,65,-38.47,177.87,66.29,4.14
Basco,90,US,1545522489,81,40.33,-91.2,37.04,6.93
Kloulklubed,90,PW,1545522490,83,7.04,134.26,82.4,4.7
Cidreira,24,BR,1545522491,87,-30.17,-50.22,72.37,7.61
Cururupu,64,BR,1545522492,88,-1.82,-44.87,78.17,6.04
Mantua,64,IT,1545522494,85,45.16,10.79,35.6,3.36
Brigham City,1,US,1545522495,35,41.51,-112.02,34.34,2.57
Cabra,0,ES,1545522496,93,37.47,-4.43,46.4,4.7
Bud,75,NO,1545522497,93,62.91,6.91,35.6,17.22
Masvingo,0,ZW,1545522498,97,-20.08,30.83,63.41,5.59
Haapiti,20,PF,1545522499,59,-17.57,-149.87,89.6,5.82
Geraldton,75,CA,1545522500,84,49.72,-86.95,-2.21,2.91
Umm Lajj,44,SA,1545522501,100,25.02,37.27,64.45,9.73
Brae,76,GB,1545522502,93,60.4,-1.35,42.8,2.24
Pervomayskoye,64,RU,1545522504,85,57.07,86.23,2.98,6.71
Trapani,40,IT,1545522505,72,38.02,12.54,59.0,11.41
Kawalu,80,ID,1545522506,99,-7.38,108.21,69.13,2.91
Manado,40,ID,1545522507,88,1.49,124.85,78.8,1.45
Yerbogachen,24,RU,1545522508,33,61.28,108.01,-22.86,6.38
Kailua,75,US,1545522509,71,21.39,-157.74,82.94,9.17
Ahipara,92,NZ,1545522511,98,-35.17,173.16,68.23,4.36
Hammerfest,56,NO,1545522512,100,70.66,23.68,32.0,17.22
Saldanha,12,PT,1545522513,87,41.42,-6.55,34.61,2.57
Llangefni,68,GB,1545522514,87,53.26,-4.31,50.0,5.82
Klyuchi,48,RU,1545522515,62,52.25,79.17,-7.69,3.58
Shizunai,48,JP,1545522516,100,42.33,142.37,19.9,3.02
Namatanai,100,PG,1545522517,100,-3.66,152.44,78.13,3.02
Novaya Zaimka,68,RU,1545522519,87,56.49,66.92,2.53,7.05
Zapolyarnyy,0,RU,1545522520,77,69.43,30.82,1.4,24.16
Misantla,0,MX,1545522521,65,19.93,-96.85,70.25,7.38
Kota Kinabalu,75,MY,1545522522,88,5.98,116.07,78.8,3.36
Poso,44,ID,1545522523,100,-1.4,120.75,82.63,3.8
Mezen,44,RU,1545522524,74,65.85,44.24,3.56,6.38
Sarkand,0,KZ,1545522525,22,45.41,79.91,-15.93,2.35
Rio Gallegos,20,AR,1545522527,33,-51.62,-69.22,62.6,34.45
Elk,92,PL,1545522528,97,53.83,22.36,30.56,15.77
Lugovoy,0,RU,1545522529,77,59.72,65.88,-17.14,7.16
Ponta Delgada,75,PT,1545522530,100,37.73,-25.67,60.8,11.41
Pilar,0,AR,1545522531,64,-34.46,-58.91,75.2,5.82
